+--------+-------------------------------------------+----------+--------------+
| ID     | DESCRIPTION                               | CATEGORY |        PRICE |
+--------+-------------------------------------------+----------+--------------+
| 524810 | Toastbrot XL (500g)                       |       30 |         1.49 |
| 652810 | Küchenwaage digital (1 Stk.)              |       14 |         9.99 |
| 106754 | Mohnbrötchen (1 Stk.)                     |       31 |         0.55 |
| 750349 | Gesund Kochen unter 20 Minuten (Hardcover)|       54 |        19.99 |
| 164872 | Käsebrötchen überbacken (1 Stk.)          |       33 |         1.20 |
| 245262 | Buch "OOP" (Object-Oriented Programming) (|       53 |        79.95 |
| 105743 | Vollwaschmittel Pulver (100 Wäschen)      |       10 |        14.99 |
| 135948 | Gegen den Strom - Mein Leben (Hardcover)  |       56 |        28.00 |
| 508693 | Wäschekorb Kunststoff (45L)               |       13 |         5.99 |
| 750361 | Laugenbrezel (1 Stk.)                     |       31 |         0.95 |
| 539164 | Künstliche Intelligenz im Alltag (Taschenb|       53 |        18.00 |
| 483091 | Das Erbe der Hanse (Hardcover)            |       55 |        23.00 |
| 514832 | Allzweckreiniger (1L)                     |       10 |         1.49 |
| 135962 | Rosinenbrötchen (1 Stk.)                  |       32 |         0.80 |
| 827413 | Die Brücke der verlorenen Zeit (Taschenbuc|       57 |        10.99 |
| 462108 | Papiertaschentücher Box (100 Stk.)        |       11 |         1.15 |
| 637205 | Wassereimer Kunststoff (10L)              |       13 |         1.99 |
| 860432 | Projekt Proxima (Taschenbuch)             |       51 |        16.00 |
| 149283 | Tod im Alten Land (Taschenbuch)           |       50 |        11.90 |
| 418592 | Weizenmischbrot (750g)                    |       30 |         3.10 |
| 539182 | Sesambrötchen (1 Stk.)                    |       31 |         0.55 |
| 872491 | Der Finanz-Code (Hardcover)               |       53 |        26.99 |
| 641582 | Die Weberei der Träume (Taschenbuch)      |       55 |        13.99 |
| 952356 | Fahrradkarte Berlin (Karte)               |       58 |         6.95 |
| 309547 | Geflügelrolle (1 Stk.)                    |       33 |         2.40 |
| 941375 | Kaffeemaschine (Filter, 10 Tassen)        |       14 |        27.99 |
| 182064 | Rührschüssel Kunststoff (3L)              |       12 |         3.49 |
| 708412 | Küchen-Alufolie (30m)                     |       11 |         2.19 |
| 159284 | Dinkelbrot (500g)                         |       30 |         3.85 |
| 827451 | Berliner / Pfannkuchen (1 Stk.)           |       32 |         1.35 |
